,sentence,tokens,slots
23,"szukam recenzji, prac, encyklopedii lub rozpraw które zawiera : strona równość i bezpieczeństwa ruchu","['szukam', 'recenzji', ',', 'prac', ',', 'encyklopedii', 'lub', 'rozpraw', 'które', 'zawiera', ':', 'strona', 'równość', 'i', 'bezpieczeństwa', 'ruchu']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword']"
24,"weź mi daj patent, normę, publikację, dokument wyjaśniający problem smarzowskiego folklor, rozprawy i dyskursu","['weź', 'mi', 'daj', 'patent', ',', 'normę', ',', 'publikację', ',', 'dokument', 'wyjaśniający', 'problem', 'smarzowskiego', 'folklor', ',', 'rozprawy', 'i', 'dyskursu']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword']"
25,"daj mi encyklopedię informującą o terroryzmowi nuklearny, przedstawia i do tego mediom","['daj', 'mi', 'encyklopedię', 'informującą', 'o', 'terroryzmowi', 'nuklearny', ',', 'przedstawia', 'i', 'do', 'tego', 'mediom']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword']"
26,może być dorosłych albo mesjanizm,"['może', 'być', 'dorosłych', 'albo', 'mesjanizm']","['O', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword']"
27,chcę podręczniki bądź patenty,"['chcę', 'podręczniki', 'bądź', 'patenty']","['O', 'Doc_type', 'O', 'Doc_type']"
28,no to wolę książkę,"['no', 'to', 'wolę', 'książkę']","['O', 'O', 'O', 'Doc_type']"
29,polecisz mi książkę obejmującą zakres,"['polecisz', 'mi', 'książkę', 'obejmującą', 'zakres']","['O', 'O', 'Doc_type', 'O', 'B-keyword']"
30,"chcę recenzję, encyklopedię ewentualnie coś w którym znajdę informację z problemem żywszych istota","['chcę', 'recenzję', ',', 'encyklopedię', 'ewentualnie', 'coś', 'w', 'którym', 'znajdę', 'informację', 'z', 'problemem', 'żywszych', 'istota']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
31,"zapodaj mi podręcznik, rozprawę wyjaśniającą temat zachodniego sposobu prowadzenia","['zapodaj', 'mi', 'podręcznik', ',', 'rozprawę', 'wyjaśniającą', 'temat', 'zachodniego', 'sposobu', 'prowadzenia']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
32,no to już niech będzie publikację albo esej,"['no', 'to', 'już', 'niech', 'będzie', 'publikację', 'albo', 'esej']","['O', 'O', 'O', 'O', 'O', 'Doc_type', 'O', 'Doc_type']"
33,daj podręczniki bądź publikacje,"['daj', 'podręczniki', 'bądź', 'publikacje']","['O', 'Doc_type', 'O', 'Doc_type']"
34,znajdź mi kraj albo sieradzkich więzienie,"['znajdź', 'mi', 'kraj', 'albo', 'sieradzkich', 'więzienie']","['O', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
35,no to niech będzie całkowite kwota dopłat,"['no', 'to', 'niech', 'będzie', 'całkowite', 'kwota', 'dopłat']","['O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
36,"niech już będą normy, eseje","['niech', 'już', 'będą', 'normy', ',', 'eseje']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type']"
37,chcę eseje albo prace opisujące nauczyciela a także cieszyńskich,"['chcę', 'eseje', 'albo', 'prace', 'opisujące', 'nauczyciela', 'a', 'także', 'cieszyńskich']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
38,"niech będzie zawadzie, warszawa, badanie marketingowy","['niech', 'będzie', 'zawadzie', ',', 'warszawa', ',', 'badanie', 'marketingowy']","['O', 'O', 'B-keyword', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword']"
39,chciałbym patent wyjaśniający temat magdalena różycka bogdan bądź chłodzenia,"['chciałbym', 'patent', 'wyjaśniający', 'temat', 'magdalena', 'różycka', 'bogdan', 'bądź', 'chłodzenia']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
40,może książka,"['może', 'książka']","['O', 'Doc_type']"
41,"poleć eseje, recenzje, encyklopedie bądź podręczniki opisujące : podmiotu publiczny","['poleć', 'eseje', ',', 'recenzje', ',', 'encyklopedie', 'bądź', 'podręczniki', 'opisujące', ':', 'podmiotu', 'publiczny']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
42,"poleć mi dokument, skrypt, rozprawę lub artykuł poświęcony tematyce początku oraz grupy","['poleć', 'mi', 'dokument', ',', 'skrypt', ',', 'rozprawę', 'lub', 'artykuł', 'poświęcony', 'tematyce', 'początku', 'oraz', 'grupy']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword']"
43,niech będą osoba,"['niech', 'będą', 'osoba']","['O', 'O', 'B-keyword']"
44,"weź mi daj patenty, eseje poruszające tematykę związaną z problemem związku funduszy pożyczkowych","['weź', 'mi', 'daj', 'patenty', ',', 'eseje', 'poruszające', 'tematykę', 'związaną', 'z', 'problemem', 'związku', 'funduszy', 'pożyczkowych']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
45,"niech będzie praca, esej, norma lub coś posiadającego obligacji ems","['niech', 'będzie', 'praca', ',', 'esej', ',', 'norma', 'lub', 'coś', 'posiadającego', 'obligacji', 'ems']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
46,chciałabym publikacje poruszające problematykę związaną z zarządzeniem,"['chciałabym', 'publikacje', 'poruszające', 'problematykę', 'związaną', 'z', 'zarządzeniem']","['O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword']"
47,potrzebuję recenzji opisującej komunikacji naukowej,"['potrzebuję', 'recenzji', 'opisującej', 'komunikacji', 'naukowej']","['O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
48,"dodatkowo wybieram publikacja, encyklopedia, esej ewentualnie coś","['dodatkowo', 'wybieram', 'publikacja', ',', 'encyklopedia', ',', 'esej', 'ewentualnie', 'coś']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
49,"potrzebuję książki, skryptu zawierającego : ibidem bądź wobec samobójstwa","['potrzebuję', 'książki', ',', 'skryptu', 'zawierającego', ':', 'ibidem', 'bądź', 'wobec', 'samobójstwa']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
50,znajdź język świecki albo podstawie badań ankietowych,"['znajdź', 'język', 'świecki', 'albo', 'podstawie', 'badań', 'ankietowych']","['O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword', 'I-keyword']"
51,"no to mogą być patenty, skrypty, recenzje","['no', 'to', 'mogą', 'być', 'patenty', ',', 'skrypty', ',', 'recenzje']","['O', 'O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
52,"zaproponuj mi artykuł odnośnie proa, roku albo społeczeństwie zdaniem wfelu","['zaproponuj', 'mi', 'artykuł', 'odnośnie', 'proa', ',', 'roku', 'albo', 'społeczeństwie', 'zdaniem', 'wfelu']","['O', 'O', 'Doc_type', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword', 'I-keyword']"
53,poleć normy albo publikacje poświęcone państwa strefy euro ewentualnie body,"['poleć', 'normy', 'albo', 'publikacje', 'poświęcone', 'państwa', 'strefy', 'euro', 'ewentualnie', 'body']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
54,zapodaj recenzję obejmującą tematykę promocji zatrudnienie oraz jednocześnie powiązania,"['zapodaj', 'recenzję', 'obejmującą', 'tematykę', 'promocji', 'zatrudnienie', 'oraz', 'jednocześnie', 'powiązania']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
55,zaproponuj mi patenty tyczące się wydziału historyczno-socjologiczny uniwersytetu,"['zaproponuj', 'mi', 'patenty', 'tyczące', 'się', 'wydziału', 'historyczno-socjologiczny', 'uniwersytetu']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
56,"weź mi daj coś obejmującego polski oddział, bezpieczeństwo żywnościowy","['weź', 'mi', 'daj', 'coś', 'obejmującego', 'polski', 'oddział', ',', 'bezpieczeństwo', 'żywnościowy']","['O', 'O', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword']"
57,masz może normę bądź skrypt,"['masz', 'może', 'normę', 'bądź', 'skrypt']","['O', 'O', 'Doc_type', 'O', 'Doc_type']"
58,daj mi encyklopedię związaną z problemem chrystus,"['daj', 'mi', 'encyklopedię', 'związaną', 'z', 'problemem', 'chrystus']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword']"
59,zapodaj konwencję europejski a także Tomasz,"['zapodaj', 'konwencję', 'europejski', 'a', 'także', 'Tomasz']","['O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
60,zaproponuj podręczniki mówiące o akumulatór litowy,"['zaproponuj', 'podręczniki', 'mówiące', 'o', 'akumulatór', 'litowy']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
61,"polecisz mi patenty, artykuły, normy albo podręczniki z : życia lub dodatkowe zatrudnienie nauczycieli","['polecisz', 'mi', 'patenty', ',', 'artykuły', ',', 'normy', 'albo', 'podręczniki', 'z', ':', 'życia', 'lub', 'dodatkowe', 'zatrudnienie', 'nauczycieli']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword', 'I-keyword']"
62,"dodatkowo wybieram społeczni, ilość czasu wolnego, współpracy bądź historii","['dodatkowo', 'wybieram', 'społeczni', ',', 'ilość', 'czasu', 'wolnego', ',', 'współpracy', 'bądź', 'historii']","['O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword']"
63,niech będą artykuły odnośnie ślubowski,"['niech', 'będą', 'artykuły', 'odnośnie', 'ślubowski']","['O', 'O', 'Doc_type', 'O', 'B-keyword']"
64,"może być esej, dokument, artykuł albo coś wyjaśniającego ekologię osoby ludzkiej a także zasilk rodzinny","['może', 'być', 'esej', ',', 'dokument', ',', 'artykuł', 'albo', 'coś', 'wyjaśniającego', 'ekologię', 'osoby', 'ludzkiej', 'a', 'także', 'zasilk', 'rodzinny']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
65,"może encyklopedie, recenzje, eseje ewentualnie rozprawy poruszające problematykę z tematem zatrudnienia osób niepełnosprawnych","['może', 'encyklopedie', ',', 'recenzje', ',', 'eseje', 'ewentualnie', 'rozprawy', 'poruszające', 'problematykę', 'z', 'tematem', 'zatrudnienia', 'osób', 'niepełnosprawnych']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
66,"poleć mi artykuły, rozprawy, recenzje ewentualnie książki na temat standardu","['poleć', 'mi', 'artykuły', ',', 'rozprawy', ',', 'recenzje', 'ewentualnie', 'książki', 'na', 'temat', 'standardu']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
67,zaproponuj mi encyklopedie dotyczące wewnętrzniejszych światło a także zwierząt,"['zaproponuj', 'mi', 'encyklopedie', 'dotyczące', 'wewnętrzniejszych', 'światło', 'a', 'także', 'zwierząt']","['O', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
68,"znajdź mi recenzje dotyczące własnych element, krytyki kapitalizm ewentualnie mas ciała dziewcząt","['znajdź', 'mi', 'recenzje', 'dotyczące', 'własnych', 'element', ',', 'krytyki', 'kapitalizm', 'ewentualnie', 'mas', 'ciała', 'dziewcząt']","['O', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword', 'I-keyword']"
69,"zapodaj mi publikację, podręcznik, rozprawę, esej odnoszący się do berlinie zachodnim","['zapodaj', 'mi', 'publikację', ',', 'podręcznik', ',', 'rozprawę', ',', 'esej', 'odnoszący', 'się', 'do', 'berlinie', 'zachodnim']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
70,"chcę skrypty, recenzje, artykuły bądź eseje posiadające wyjaśnienie problematyki byłoby sformułowanie najprostszych, modeli materiałów, szpytma albo królewskich huta","['chcę', 'skrypty', ',', 'recenzje', ',', 'artykuły', 'bądź', 'eseje', 'posiadające', 'wyjaśnienie', 'problematyki', 'byłoby', 'sformułowanie', 'najprostszych', ',', 'modeli', 'materiałów', ',', 'szpytma', 'albo', 'królewskich', 'huta']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
71,no to patent albo dokument,"['no', 'to', 'patent', 'albo', 'dokument']","['O', 'O', 'Doc_type', 'O', 'Doc_type']"
72,zaproponuj mi postulatom przewozowym stawia i do tego łeczny przekaz,"['zaproponuj', 'mi', 'postulatom', 'przewozowym', 'stawia', 'i', 'do', 'tego', 'łeczny', 'przekaz']","['O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
73,niech będą lwowa,"['niech', 'będą', 'lwowa']","['O', 'O', 'B-keyword']"
74,"potrzebuję patentu na temat , człowieka a także przestrzeni społecznej miasta","['potrzebuję', 'patentu', 'na', 'temat', '\x18\x1a\x04\x10', ',', 'człowieka', 'a', 'także', 'przestrzeni', 'społecznej', 'miasta']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword', 'I-keyword']"
75,no to dodatkowo filipinka oraz pytanie otworzyć,"['no', 'to', 'dodatkowo', 'filipinka', 'oraz', 'pytanie', 'otworzyć']","['O', 'O', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword']"
76,weź mi poleć centrum pomocy,"['weź', 'mi', 'poleć', 'centrum', 'pomocy']","['O', 'O', 'O', 'B-keyword', 'I-keyword']"
77,szukam skryptów,"['szukam', 'skryptów']","['O', 'Doc_type']"
78,chcę recenzje związane z tematem zostaje,"['chcę', 'recenzje', 'związane', 'z', 'tematem', 'zostaje']","['O', 'Doc_type', 'O', 'O', 'O', 'B-keyword']"
79,zaproponuj podręczniki albo artykuły poruszające problematykę terytorium nowego świata ewentualnie chorych,"['zaproponuj', 'podręczniki', 'albo', 'artykuły', 'poruszające', 'problematykę', 'terytorium', 'nowego', 'świata', 'ewentualnie', 'chorych']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
80,no to mogą być encyklopedie,"['no', 'to', 'mogą', 'być', 'encyklopedie']","['O', 'O', 'O', 'O', 'Doc_type']"
81,weź mi poleć skrypty wyjaśniające temat adwokatury,"['weź', 'mi', 'poleć', 'skrypty', 'wyjaśniające', 'temat', 'adwokatury']","['O', 'O', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
82,"polecisz mi recenzję o motywie świata idea, wyborcza olsztyn, efektywności albo ciągu ostatni","['polecisz', 'mi', 'recenzję', 'o', 'motywie', 'świata', 'idea', ',', 'wyborcza', 'olsztyn', ',', 'efektywności', 'albo', 'ciągu', 'ostatni']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
83,"niech będzie publikacja albo coś z zyskiem, modelem etniczny oraz higieną wiek","['niech', 'będzie', 'publikacja', 'albo', 'coś', 'z', 'zyskiem', ',', 'modelem', 'etniczny', 'oraz', 'higieną', 'wiek']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword']"
84,"zaproponuj mi rozprawy, podręczniki albo skrypty omawiające struktury","['zaproponuj', 'mi', 'rozprawy', ',', 'podręczniki', 'albo', 'skrypty', 'omawiające', 'struktury']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword']"
85,"no to dokument, esej, patent lub encyklopedia","['no', 'to', 'dokument', ',', 'esej', ',', 'patent', 'lub', 'encyklopedia']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
86,"chciałabym recenzje, dokumenty lub coś odnośnie : borneo wschodnie kultura","['chciałabym', 'recenzje', ',', 'dokumenty', 'lub', 'coś', 'odnośnie', ':', 'borneo', 'wschodnie', 'kultura']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
87,"no to esej odnoszący się do osób, bonifratrów, młodzieżowych gremium i praska biblioteka sąsiedzka","['no', 'to', 'esej', 'odnoszący', 'się', 'do', 'osób', ',', 'bonifratrów', ',', 'młodzieżowych', 'gremium', 'i', 'praska', 'biblioteka', 'sąsiedzka']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword', 'I-keyword']"
88,"szukam artykułów ewentualnie recenzji mówiących o sherlock, idei demokracji totalitarnej, age i do tego drgań własnych","['szukam', 'artykułów', 'ewentualnie', 'recenzji', 'mówiących', 'o', 'sherlock', ',', 'idei', 'demokracji', 'totalitarnej', ',', 'age', 'i', 'do', 'tego', 'drgań', 'własnych']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
89,jestem bardziej zainteresowany radykalnej reformy finansów,"['jestem', 'bardziej', 'zainteresowany', 'radykalnej', 'reformy', 'finansów']","['O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
90,poleć mi recenzje albo encyklopedie które zawiera jakość usługa,"['poleć', 'mi', 'recenzje', 'albo', 'encyklopedie', 'które', 'zawiera', 'jakość', 'usługa']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
91,daj rozprawy poświęcone tematyce inicjatywy pasa,"['daj', 'rozprawy', 'poświęcone', 'tematyce', 'inicjatywy', 'pasa']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
92,niech będą książki obejmujące : biura oraz jednocześnie roku,"['niech', 'będą', 'książki', 'obejmujące', ':', 'biura', 'oraz', 'jednocześnie', 'roku']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
93,"zapodaj publikacje tyczące się orędzio papieski, samorządu miasto, subdukującej płyty","['zapodaj', 'publikacje', 'tyczące', 'się', 'orędzio', 'papieski', ',', 'samorządu', 'miasto', ',', 'subdukującej', 'płyty']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword']"
94,niech będą rozprawy związane z dziedziną świata człowiek ewentualnie autora,"['niech', 'będą', 'rozprawy', 'związane', 'z', 'dziedziną', 'świata', 'człowiek', 'ewentualnie', 'autora']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
95,może artykuł obejmujący wyjaśnienie véron,"['może', 'artykuł', 'obejmujący', 'wyjaśnienie', 'véron']","['O', 'Doc_type', 'O', 'O', 'B-keyword']"
96,może być rozprawa ewentualnie książka mająca związek z reformami medycznej albo family,"['może', 'być', 'rozprawa', 'ewentualnie', 'książka', 'mająca', 'związek', 'z', 'reformami', 'medycznej', 'albo', 'family']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
97,zapodaj książki lub normy dotyczące pracowników biblioteki,"['zapodaj', 'książki', 'lub', 'normy', 'dotyczące', 'pracowników', 'biblioteki']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
