dkey,title,authors,source,type,keywords,url
6527e1ce363a688a4eaf1d98d042eb1e,Osiągnięcia habilitacyjne w naukach o zarządzaniu w okresie styczeń- kwiecień 2019,"Komańda, Marcin","Komańda M. (2020). Osiągnięcia habilitacyjne w naukach o zarządzaniu w okresie styczeń- kwiecień 2019. „Management and Quality – Zarządzanie i Jakość” 2(2), s. 31-41",article,"['habilitacja', 'nauki o zarządzaniu', 'metodologia', 'osiągnięcie naukowe']",https://depot.ceon.pl/handle/123456789/21553
c6563c71a341c36ed5685a4bbf248340,Niewinność pierwszych grzechów. Inicjacja małej dziewczynki w opowiadaniach Ingi Iwasiów i Krystyny Kofty,"Alochno-Janas, Anna","Alochno‑Janas A., 2015, Niewinność pierwszych grzechów. Inicjacja małej dziewczynki w opowiadaniach Ingi Iwasiów i Krystyny Kofty, w: Dalasiński T., Szwagrzyk A., Tański P., red., Seksualność w najnowszej literaturze polskiej, Toruń.",bookPart,"['inicjacja seksualna', 'tabu', 'grzech', 'arkadia', 'transgresja', 'feminizm', 'Krystyna Kofta', 'Inga Iwasiów', 'erotyka', 'opowiadanie']",https://depot.ceon.pl/handle/123456789/21546
5b6190e7bda9ccb05fb6a34eda056b55,"Dusza książki. E-book i jego rola w rozwoju cyfrowej humanistyki, edukacji i literatury","Alochno-Janas, Anna","Alochno-Janas, A. (2014). Dusza książki. E-book i jego rola w rozwoju cyfrowej humanistyki, edukacji i literatury. W: B. M. Powichrowska (red.), W kierunku gospodarki elektronicznej – wyzwania, narzędzia, dobre praktyki. Tom 1: Upowszechnianie wiedzy w warunkach gospodarki elektronicznej (s. 114-120). Białystok: Wyższa Szkoła Ekonomiczna.",bookPart,"['e-booki', 'humanistyka cyfrowa', 'antropologia kultury', 'antropologia słowa', 'Platon']",https://depot.ceon.pl/handle/123456789/21545
366fa085bb751fd26aca9b1db2b07ba5,Humanistyka - Don Kichot naszych czasów. Rola i znaczenie humanistyki w kształtowaniu elity społecznej,"Alochno-Janas, Anna","Alochno-Janas, A. (2016). Humanistyka – Don Kichot naszych czasów. Rola i znaczenie humanistyki w kształtowaniu elity społecznej. W: N. Starik, T. Węglarz, M. Wojdyła-Bednarczyk (red.), Edukacja elit XXI wieku. Kształcenie elity społecznej – przeszłość, teraźniejszość, przyszłość (s. 53-59). Poznań: Wyższa Szkoła Bezpieczeństwa.",bookPart,"['etyka pracy', 'kultura pracy', 'humanistyka', 'elita społeczna', 'idealizm społeczny']",https://depot.ceon.pl/handle/123456789/21544
10d2985c3dcd3eee58b23fc84ed7464c,"W poszukiwaniu istoty ""blogowości"". Problemy genologiczne","Alochno-Janas, Anna","Alochno-Janas, A. (2012). W poszukiwaniu istoty blogowości. Problemy genologiczne. W: J. Farysej, N. Dębowska (red.), Web 2.0. Szanse i zagrożenia (s. 75-84). Poznań: Wyższa Szkoła Bezpieczeństwa.",bookPart,"['blog', 'dziennik', 'hipertekstowość', 'interaktywność', 'multimedialność', 'internet', 'estetyka fragmentu', 'sylwa', 'poetyka kolekcji', 'autobiografia', 'pakt autobiograficzny', 'genologia']",https://depot.ceon.pl/handle/123456789/21543
53ab512c7ecf33f619e215d8a3fc3d71,Estetyczna transgresja. Akt w świetle teorii feministycznych,"Alochno-Janas, Anna","Alochno-Janas, A. (2012). Estetyczna transgresja. Akt w świetle teorii feministycznych. W: N. Majchrzak, N. Starik, A. Zduniak (red.), Podmiotowość w edukacji wobec odmienności kulturowych oraz społecznych zróżnicowań. Tom 2. (s. 267-271). Poznań: Wyższa Szkoła Bezpieczeństwa.",bookPart,"['voyeuryzm', 'patriarchat', 'antropologia wizualności', 'akt', 'fotografia', 'feminizm', 'antropologia kultury', 'erotyka']",https://depot.ceon.pl/handle/123456789/21542
0031257c8971272b026ff14ecce4c7cd,Eros i Tanatos w fotografii. Między pożądaniem a śmiercią,"Alochno-Janas, Anna","Alochno-Janas, A. (2009). Eros i tanatos w fotografii. Między pożądaniem a śmiercią w monografii pokonferencyjnej. W: I. Gielata, T. Bielak (red.), Fotografia. Spojrzenia literackie i filmowe. (s. 23-31). Katowice: Wyższa Szkoła Zarządzania Ochroną Pracy.",bookPart,"['antropologia kultury', 'fotografia', 'akt', 'fotografia funeralna', 'antropologia ciała', 'antropologia śmierci', 'tanatologia', 'erotyka', 'fotografia dziecięca']",https://depot.ceon.pl/handle/123456789/21541
b9b028a2af8503c2b355622ecd9beb8a,Wacław Iwanowski (1869-1942) – nauczyciel i wychowawca synów polskiej arystokracji w świetle własnej korespondencji,"Durka, Jarosław","J. Durka, Wacław Iwanowski (1869-1942) – nauczyciel i wychowawca synów polskiej arystokracji w świetle własnej korespondencji [w:] Ziemiaństwo na Lubelszczyźnie VI. Bakalaureaty arystokraty, czyli dole i niedole dzieciństwa, red. H. Łaszkiewicz, Lublin 2017, s. 163-183.",bookPart,"['Wacław Iwanowski', 'Radziwiłł', 'Zamoyski', 'Sapieha', 'arystokracja', 'Czapski', 'nauczyciel', 'wychowawca', 'korespondencja']",https://depot.ceon.pl/handle/123456789/21515
09b7ddd246c7af28674829e86622a80a,W kierunku automatycznej klasyfikacji języków naturalnych,"Handzel, Zbigniew","Handzel, Z., Gajer, M. (2021). W kierunku automatycznej klasyfikacji języków naturalnych. Zeszyty Naukowe Wyższej Szkoły Ekonomii i Informatyki w Krakowie, 17, 53-71.",article,"['lingwistyka komputerowa', 'przetwarzanie języka naturalnego', 'klasyfikacja języków']",https://depot.ceon.pl/handle/123456789/21496
808a47edab422d9a67a685cf6f638e04,Zagadnienie zdalnego oceniania studentów pokolenia Z w okresie post-pandemicznym,"Werewka, Jan","Werewka, J., Szydłowski, M. (2021). Zagadnienie zdalnego oceniania studentów pokolenia Z w okresie post-pandemicznym. Zeszyty Naukowe Wyższej Szkoły Ekonomii i Informatyki w Krakowie, 17, 150-177.",article,"['zdalne nauczanie', 'ocenianie', 'edukacja w informatyce']",https://depot.ceon.pl/handle/123456789/21494
cad35739f53f4ffd5046c325c6407ebc,Dobór narzędzi rozwoju oprogramowania w cyklu DevOps z punktu widzenia studentów inżynierskich studiów informatycznych,"Molenda, Krzysztof","Molenda, K., Partyka, M., Werewka, J. (2021). Dobór narzędzi rozwoju oprogramowania w cyklu DevOps z punktu widzenia studentów inżynierskich studiów informatycznych. Zeszyty Naukowe Wyższej Szkoły Ekonomii i Informatyki w Krakowie, 17, 106-130.",article,"['DevOps', 'narzędzia programistyczne', 'kształcenie inżynierów informatyki', 'sylabusy']",https://depot.ceon.pl/handle/123456789/21493
95afa1783ab3e2cecb3c59e0354ce045,Porównanie finansowo - środowiskowe farmy wiatrowej i fotowoltaicznej dedykowanych dla zasilania strefy przemysłowej,"Jastrzębski, Paweł","Jastrzębski, P. (2021). Porównanie finansowo - środowiskowe farmy wiatrowej i fotowoltaicznej dedykowanych dla zasilania strefy przemysłowej. Zeszyty Naukowe Wyższej Szkoły Ekonomii i Informatyki w Krakowie, 17, 94-105.",article,"['energetyka odnawialna', 'efektywność finansowa', 'efektywność ekonomiczna']",https://depot.ceon.pl/handle/123456789/21492
5e3a13d792f6790608e4a6b34f1c7932,Zastosowanie uczenia głębokiego w tłumaczeniu komputerowym,"Handzel, Zbigniew","Handzel, Z. Gajer, M. (2021). Zastosowanie uczenia głębokiego w tłumaczeniu komputerowym. Zeszyty Naukowe Wyższej Szkoły Ekonomii i Informatyki w Krakowie, 17, 72-93.",article,"['sztuczna inteligencja', 'przekłąd komputerowy', 'sieci neuronowe', 'uczenie głębokie']",https://depot.ceon.pl/handle/123456789/21491
299310b939bff3e02c0a06d420abb4f0,Adaptacja procesów edukacyjnych w kształceniu zdalnym inżynierów informatyki w okresie po pandemii,"Ćwiertniak, Ryszard","Ćwiertniak, R., Werewka, J. (2021). Adaptacja procesów edukacyjnych w kształceniu zdalnym inżynierów informatyki w okresie po pandemii. Zeszyty Naukowe Wyższej Szkoły Ekonomii i Informatyki w Krakowie, 17, 25-51.",article,"['e-learning', 'standardy jakości kształcenia na odległość', 'pandemia']",https://depot.ceon.pl/handle/123456789/21490
dde5fe4d8d843fa429923e991d88f1dd,Planowanie finansowe w grupach kapitałowych - dylematy i praktyczne rozwiązania,"Piwowarski, Tomasz","Piwowarski, T., Starec, A. (2021). Planowanie finansowe w grupach kapitałowych - dylematy i praktyczne rozwiązania. Zeszyty Naukowe Wyższej Szkoły Ekonomii i Informatyki w Krakowie, 17, 131-147.",article,"['grupa kapitałowa', 'konsolidacja', 'koordynacja', 'planowanie']",https://depot.ceon.pl/handle/123456789/21488
3fbf0f28b1bf6e6608144a982d66fbe8,Rola Krakowskiego Holdingu Komunalnego S.A.,"Blecharczyk, Wojciech","Blecharczyk, W., Kandefer, M. (2021). Rola Krakowskiego Holdingu Komunalnego S.A. Zeszyty Naukowe Wyższej Szkoły Ekonomii i Informatyki w Krakowie, 17, 10-24.",article,"['gospodarka odpadami', 'zrównoważony rozwój', 'gospodarka obiegu zamkniętego - GOZ', 'utylizacja', 'Zakład Termicznego Przekształcania Odpadów']",https://depot.ceon.pl/handle/123456789/21487
0b0edf2bb31fe8e731a8990d3ab8c204,Poszerzenie kompetencji młodzieżowych rad i sejmików jednostek samorządu terytorialnego – wnioski i postulaty,"Wolanin, Mikołaj","Wolanin, M. (2020). Poszerzenie kompetencji młodzieżowych rad i sejmików jednostek samorządu terytorialnego – wnioski i postulaty. Veritas Iuris, 2, 64-78.",article,"['młodzieżowa rada', 'młodzieżowa rada gminy', 'młodzieżowa rada powiatu', 'młodzieżowy sejmik województwa', 'samorząd terytorialny', 'partycypacja młodzieży', 'jednostki samorządu terytorialnego']",https://depot.ceon.pl/handle/123456789/21462
28b609b39ba22da0269c872181c8d1e5,Między pracą a edukacją. Z życia Junackich Hufców Pracy na Kresach Wschodnich w II poł. lat 30. XX w.,"Durka, Jarosław","Durka Jarosław (2018). Między pracą a edukacją. Z życia Junackich Hufców Pracy na Kresach Wschodnich w II poł. lat 30. XX w. [w:] Oświata i nauka na Kresach Wschodnich w XIX i XX wieku, red. J. Lusek, Bytom–Poznań, s. 193-209.",bookPart,"['Junackie Hufce Pracy', 'Kresy Wschodnie', 'praca', 'edukacja', 'okres międzywojenny']",https://depot.ceon.pl/handle/123456789/21446
1faea24bc34f9724a15e66a8a27d42b5,Wystawa wołyńska 1928 roku – organizacja i znaczenie,"Durka, Jarosław","Durka Jarosław (2017). Wystawa wołyńska 1928 roku – organizacja i znaczenie [w:] Między mitem a rzeczywistością. Kresy Wschodnie w XIX i XX wieku, red. A. Dawid, J. Lusek, Bytom–Opole, s. 337-351.",bookPart,"['Wołyń', 'wystawa wołyńska', 'ziemiaństwo', 'Przegląd Wołyński', '1928']",https://depot.ceon.pl/handle/123456789/21445
1f8f01e5c58657afcf1fb253f7fef307,Paweł Terlica – ostatni morawski pastor w Księstwie Cieszyńskim,"Morys-Twarowski, Michael","Michael Morys-Twarowski, Paweł Terlica – ostatni morawski pastor w Księstwie Cieszyńskim, [w:] Lekarz i duchowny na prowincji / Lékař a duchovní v provincii, red. Anna Czerniecka-Haberko, Barbara Szargot, Norbert Morawiec, Janusz Spyra, Częstochowa 2022, s. 311–322.",bookPart,"['Paweł Terlica', 'Paul Terlitza']",https://depot.ceon.pl/handle/123456789/21402
25ea146fbbf7fe76bfbf69fc69896424,Ryzyko i konsekwencje zaburzeń głosu występujących po chorobie COVID-19 oraz ich wpływ na pracę nauczyciela,"Jaros, Kamil","Jaros, K. (2022). Ryzyko i konsekwencje zaburzeń głosu występujących po chorobie COVID-19 oraz ich wpływ na pracę nauczyciela. W: K. Białożyt-Wielonek (red.), Wybrane aspekty funkcjonowania rynku pracy w czasie pandemii COVID-19. Inspiracje dla pedagogiki (s. 51-66). Kraków: Wydawnictwo Scriptum",bookPart,"['emisja głosu', 'nauczyciele', 'ryzyka zawodowe', 'zaburzenia głosu', 'COVID-19']",https://depot.ceon.pl/handle/123456789/21388
8634a8cee22b9917ab377b2592e88c3f,Badania geofizyczne dla identyfikacji gruntów organicznych pod projektowane inwestycje,"Pacanowski, Grzegorz","Pacanowski G. Sokołowska M, 2022 - Badania geofizyczne dla identyfikacji gruntów organicznych pod projektowane inwestycje. W: O metodach geoelektrycznych w praktyce. Warszawa",workingPaper,"['ERT', 'grunty słabe', 'grunty organiczne']",https://depot.ceon.pl/handle/123456789/21384
09d24230e7cb4589dd7d9c7e8202ebe6,Dorobek piśmienniczy jednostek naukowych z grupy nauk prawnych w świetle oceny parametrycznej z roku 2017,"Drogosz, Jacek","Drogosz J. Dorobek piśmienniczy jednostek naukowych z grupy nauk prawnych w świetle oceny parametrycznej z roku 2017, Studia Prawno-Ekonomiczne 2021/119, s. 49–69",article,"['jednostki naukowe', 'dziedzina nauk prawnych', 'ewaluacja nauki', 'piśmiennictwo naukowe', 'czasopisma naukowe']",https://depot.ceon.pl/handle/123456789/21365
45b5ec7a780306202da6b29bc7f24f39,Dorobek piśmienniczy jednostek naukowych z grupy nauk ekonomicznych w świetle oceny parametrycznej z roku 2017,"Drogosz, Jacek","Drogosz J. Dorobek piśmienniczy jednostek naukowych z grupy nauk ekonomicznych w świetle oceny parametrycznej z roku 2017, Studia Prawno-Ekonomiczne 2020/115, s. 203–226",article,"['jednostki naukowe', 'dziedzina nauk ekonomicznych', 'ewaluacja nauki', 'piśmiennictwo naukowe', 'czasopisma naukowe']",https://depot.ceon.pl/handle/123456789/21364
c34467afd1b0fff5958335f2a19d335b,Działania władz powiatu konińskiego względem Caritas na podstawie akt z lat 1948-1950,"Kupiński, Krzysztof","Kupiński, K. (2022). Działania władz powiatu konińskiego względem Caritas na podstawie akt zlat 1948-1950. Szkice Akademickie.Artykuł: 001/2022-04-16.",article,"['Caritas', 'antyklerykalizm', 'stalinizm', 'komunizm', 'powiat koniński']",https://depot.ceon.pl/handle/123456789/21354
06adb5f5b3fa37608df490b01833f532,Paradoks obietnicy raju. Możliwe rozwiązania,"Kupiński, Krzysztof","Kupiński, K. (2022). Paradoks obietnicy raju. Możliwe rozwiązania. Szkice Akademickie.Artykuł: 004/2022.06.01",article,"['raj', 'zmartwychwstanie', 'interpretacja', 'kontekst', 'hermeneutyka']",https://depot.ceon.pl/handle/123456789/21355
f2379a0d18cf7c5b7828564c96f77c98,Postawy wychowawcze rodziców a radzenie sobie w sytuacjach trudnych i z negatywnymi emocjami – ocena z perspektywy dorosłego życia,"Szatkowska, Monika","Szatkowska, M. (2022). Postawy wychowawcze rodziców a radzenie sobie w sytuacjach trudnych i z negatywnymi emocjami – ocena z perspektywy dorosłego życia. ZESZYTY NAUKOWE WSG, seria: Edukacja – Rodzina – Społeczeństwo, 7(49).",article,"['postawy rodzicielskie', 'prężność psychiczna', 'kontrola emocji', 'rodzice', 'dzieciństwo', 'tłumienie emocji', 'wyrażanie emocji']",https://depot.ceon.pl/handle/123456789/21352
151b4bf20577e0cec4bf5b0f775dbadd,Wpływ innowacji na kreowanie wartości dla klienta,"Zupok, Sebastian","Zupok, S. (2015). Wpływ innowacji na kreowanie wartości dla klienta. Zeszyty Naukowe Uniwersytetu Szczecińskiego. Studia i Prace Wydziału Nauk Ekonomicznych i Zarządzania, 39(2), 37-47.",article,"['innowacje', 'zarządzanie innowacjami', 'wiedza', 'klient', 'wartość dla klienta', 'kreowanie wartości dla klienta']",https://depot.ceon.pl/handle/123456789/21351
c662cbc1facce645e46f5ffabff1e6d0,Determinanty przetrwania państw pozbawionych powszechnego uznania: weryfikacja istniejących teorii,"Czachor, Rafał","R. Czachor, Determinanty przetrwania państw pozbawionych powszechnego uznania: weryfikacja istniejących teorii, [w:] V. Serzhanova, J. Wilk, K. Nowak, J. Plis (red.), Problem państw nieuznawanych we współczesnym świecie, Wyd. Sejmowe, Warszawa 2019, s. 49-63.",bookPart,"['parapaństwa', 'Kaukaz Południowy', 'teorie przetrwania państwa', 'bezpieczeństwo międzynarodowe']",https://depot.ceon.pl/handle/123456789/21350
2e331e199b9915f89e9c8a4769601be1,Instytucja „lidera narodu” w republikach Azji Środkowej. Analiza prawno-porównawcza,"Czachor, Rafał","R. Czachor, Instytucja „lidera narodu” w republikach Azji Środkowej. Analiza prawno-porównawcza, „Wrocławsko-Lwowskie Zeszyty Prawnicze” 2019, nr 10, s. 245-257.",article,"['instytucja lidera narodu', 'Azja Środkowa', 'reformy ustrojowe państw postradzieckich', 'Kazachstan', 'Tadżykistan', 'Turkmenistan']",https://depot.ceon.pl/handle/123456789/21349
c6de8a87c4a9c8bf6de9451eeebc6657,"Korzystanie z portali społecznościowych przez badane grupy dzieci, rodziców i nauczycieli","Perz, Paulina","Perz, P. (2022). Korzystanie z portali społecznościowych przez badane grupy dzieci, rodziców i nauczycieli. ZESZYTY NAUKOWE WSG, seria: Edukacja – Rodzina – Społeczeństwo, 7(49).",article,"['portale społecznościowe', 'uczniowie', 'rodzice', 'nauczyciele', 'nadużywanie']",https://depot.ceon.pl/handle/123456789/21342
20b6f66499fd606d446f202a165eb7c5,Dzieci i młodzież w obliczu procesu seksualizacji,"Nowak, Karolina","Nowak, K. (2022). Dzieci i młodzież w obliczu procesu seksualizacji. ZESZYTY NAUKOWE WSG, seria: Edukacja – Rodzina – Społeczeństwo, 7(49).",article,"['dzieci i młodzież', 'seksualizacja', 'uprzedmiotowienie', 'samouprzedmiotowienie']",https://depot.ceon.pl/handle/123456789/21341
b20bbd0f6b8f0b34531767d898f6487a,Realizowanie kontaktów z dziećmi w kontekście wykonywania władzy rodzicielskiej,"Kwaśniewska, Katarzyna","Kwaśniewska, K. (2022). Realizowanie kontaktów z dziećmi w kontekście wykonywania władzy rodzicielskiej. ZESZYTY NAUKOWE WSG, seria: Edukacja – Rodzina – Społeczeństwo, 7(49).",article,"['realizowanie kontaktów', 'władza rodzicielska', 'alienacja rodzicielska']",https://depot.ceon.pl/handle/123456789/21338
9c7c8991b95a1a4db351fc636169f4a6,Codzienne wyzwania osób z rozpoznaniem schizofrenii,"Kaniewska-Mackiewicz, Ewa","Kaniewska-Mackiewicz, E. (2022). Codzienne wyzwania osób z rozpoznaniem schizofrenii. ZESZYTY NAUKOWE WSG, seria: Edukacja – Rodzina – Społeczeństwo, 7(49).",article,"['schizofrenia', 'jakość życia w chorobie', 'choroba psychiczna', 'społeczeństwo', 'rodzina']",https://depot.ceon.pl/handle/123456789/21337
8f7b986a1977817c2a7e3e28ba54c2d5,Loot boxy – hazard w grach wideo,"Górecki, Błażej","Górecki, B. (2022). Loot boxy – hazard w grach wideo. ZESZYTY NAUKOWE WSG, seria: Edukacja – Rodzina – Społeczeństwo, 7(49).",article,"['loot boxy', 'hazard', 'problemowy hazard', 'gry wideo']",https://depot.ceon.pl/handle/123456789/21336
b04090fa97cd1d148005387db4a51bb4,Wpływ pandemii Covid-19 na branżę klubów fitness w Polsce,"Bocheński, Wojciech","Bocheński, W. (2022). Wpływ pandemii Covid-19 na branżę klubów fitness w Polsce. ZESZYTY NAUKOWE WSG, seria: Edukacja – Rodzina – Społeczeństwo, 7(49).",article,"['popyt', 'podaż', 'COVID-19', 'fitness']",https://depot.ceon.pl/handle/123456789/21335
c0b65c011476e1256f3a8a1364339040,Zdalne nauczanie jako element pracy z uczniami w szkołach w czasie pandemii koronawirusa w Polsce,"Bialik, Małgorzata","Bialik, M. (2022). Zdalne nauczanie jako element pracy z uczniami w szkołach w czasie pandemii koronawirusa w Polsce. ZESZYTY NAUKOWE WSG, seria: Edukacja – Rodzina – Społeczeństwo, 7(49).",article,"['remote learning', 'pandemic', 'coronavirus', 'epidemic', 'COVID-19']",https://depot.ceon.pl/handle/123456789/21333
f8fc1902c46162e5f464f56f568451f7,Tworzenie wartości dla interesariuszy w gospodarce o obiegu zamkniętym,"Zupok, Sebastian","Zupok, S. (2021). Tworzenie wartości dla interesariuszy w gospodarce o obiegu zamkniętym. Studia Prawno-Ekonomiczne, 120, 291-311. DOI:10.26485/SPE/2021/120/16",article,"['gospodarka cyrkulacyjna', 'interesariusze', 'kreowanie wartości dla interesariuszy']",https://depot.ceon.pl/handle/123456789/21332
ceb7feb073a2688c96e4ede8a0ed3a35,Zaufanie klienta jako kluczowy czynnik budowy wartości przedsiębiorstw handlu detalicznego typu DIY,"Zupok, Sebastian","Zupok, Sebastian. 2015. „ZAUFANIE KLIENTA JAKO KLUCZOWY CZYNNIK BUDOWY WARTOŚCI PRZEDSIĘBIORSTW HANDLU DETALICZNEGO TYPU DIY”. Acta Universitatis Nicolai Copernici. Zarządzanie 42 (3):151-62. https://doi.org/10.12775/AUNC_ZARZ.2015.039.",article,"['zaufanie', 'klient', 'wartość przedsiębiorstwa', 'DIY']",https://depot.ceon.pl/handle/123456789/21348
689836d440225e25d78fd609efe87561,Innowacje jako element budowy wartości dla klienta-studium przypadku RCGW SA w Tychach,"Zupok, Sebastian","Zupok S., 2017, Innowacje jako element budowy wartości dla klienta – studium przypadku RCGW S.A. w Tychach, Journal of Management and Finance, Vol. 15: 375-387.",article,"['innowacje', 'zarządzanie innowacjami', 'wiedza', 'klient', 'wartość klienta', 'kreowanie wartości dla klienta']",https://depot.ceon.pl/handle/123456789/21347
0d65c215546ed945efd9bd40dcce479c,Aktywność zawodowa osób znajdujących się w okresie średniej dorosłości. Wybrane problemy,"Rogowska, Daria","Rogowska, D. (2022). Aktywność zawodowa osób znajdujących się w okresie średniej dorosłości. Wybrane problemy. ZESZYTY NAUKOWE WSG, seria: Edukacja – Rodzina – Społeczeństwo, 7(49).",article,"['średnia dorosłość', 'praca', 'zatrudnienie']",https://depot.ceon.pl/handle/123456789/21346
f50aaf24ea84760c03b990c792e4aa8e,Rola innowacji pedagogicznych w szkole,"Ziółkowski, Przemysław","Ziółkowski, P. (2022). Rola innowacji pedagogicznych w szkole. ZESZYTY NAUKOWE WSG, seria: Edukacja – Rodzina – Społeczeństwo, 7(49).",article,"['edukacja', 'innowacje pedagogiczne', 'innowacje w szkole']",https://depot.ceon.pl/handle/123456789/21345
